Deviceset	Package	Technology	Device name	Order code type	Order code	Manuf. code	Description
SODIMM_BOARD	SODIMM-BOARD-67.6X50	''	SODIMM_BOARDLARGE	Farnell	not assigned		
SODIMM_BOARD	SODIMM_BOARD_SMALLER-67.6X35	''	SODIMM_BOARDSMALL	Farnell	not assigned		
SOL-PAD-OPEN	SOL-PAD-OPEN	''	SOL-PAD-OPEN	Farnell	not assigned		
SPDT_MOMENTARY	SPDT_THROUGH-HOLE	''	SPDT_MOMENTARY	Farnell	not assigned		
SPST	FSMSM-SPST	''	SPST	Farnell	not assigned		
SPST-3PIN-RTANGLE	TL3340AF160QG	''	SPST-3PIN-RTANGLEP02	Farnell	not assigned		
SR036/7	8-MSOP	''	SR036/7	Farnell	not assigned		
SR086	SOIC-8-HEAT_SLUG	''	SR086	Farnell	not assigned		
SRAM	44TSOP	''	SRAM	Farnell	not assigned		
SSR	SSR	''	SSR	Farnell	not assigned		
ST1S10	ST1S10	''	ST1S10	Farnell	not assigned		
STM32F407	100LQFP	''	STM32F407	Farnell	not assigned		
TAC-SOFT	SWITCH_SMD	''	TAC-SOFT	Farnell	not assigned		
TACTILE	TACTILE	''	TACTILE	Farnell	not assigned		
TACTILE-2PIN	TACTILE-2PIN	''	TACTILE-2PIN	Farnell	not assigned		
TACTILE-2PIN	TACTILE-2PIN-RTANGLE	''	TACTILE-2PIN'	Farnell	not assigned		
TACTILE-RT_ANGLE-METAL	RIGHT_ANGLE_TAC-7.4X7.3	''	TACTILE-RT_ANGLE-METAL	Farnell	not assigned		
TAS5612	44HTSOP	''	TAS5612	Farnell	not assigned		
TB6552FN	16PIN_SSOP	''	TB6552FN	Farnell	not assigned		
TDA7492P	POWERSSO-36_EPD	''	TDA7492P	Farnell	not assigned		
TDA7493	HTSSOP24	''	TDA7493	Farnell	not assigned		
TDA7498	POWERSS036	''	TDA7498	Farnell	not assigned		
TERMINAL_CONNECTOR-2PIN	TERMINAL_CONNECTOR-2PIN	''	TERMINAL_CONNECTOR-2PIN	Farnell	not assigned		
TFR_HEADER	TFR_HEADER	''	TFR_HEADER	Farnell	not assigned		
TLV61220	SOT-23-6_MC	''	TLV61220	Farnell	not assigned		
TPA3111D1	HTSSOP28	''	TPA3111D1	Farnell	not assigned		
TPA3116/18/30D2	32HTSOP	''	TPA3116/18/30D2	Farnell	not assigned		
TPS732XX	SOT23-5/SOT25	''	TPS732XX	Farnell	not assigned		
TPS2114A/5A	TSSOP8	''	TPS2114A/5A	Farnell	not assigned		
TRANSISTOR_NPN	SOT223	''	TRANSISTOR_NPN	Farnell	not assigned		
TRANSISTOR_NPN	SOT23-R	''	TRANSISTOR_NPN-SOT23-R	Farnell	not assigned		
TRANSISTOR_NPN	SOT23-W	''	TRANSISTOR_NPN-SOT23-W	Farnell	not assigned		
TRANSISTOR_PNP	SOT23-R	''	TRANSISTOR_PNP-SOT23-R	Farnell	not assigned		
TRIMPOT	3MM_TRIMPOT	''	TRIMPOT	Farnell	not assigned		
TRIMPOT	67W	''	TRIMPOT-67W	Farnell	not assigned		
TS3A5017	16TSSOP	''	TS3A5017	Farnell	not assigned		
UC3843	SOIC-8	''	UC3843	Farnell	not assigned		
UFL	UFL	''	UFL	Farnell	not assigned		
USB	USB-A-H	''	USB-A-H	Farnell	not assigned		
USB	USB-A-S	''	USB-A-S	Farnell	not assigned		
USB	USB-B-H	''	USB-B-H	Farnell	not assigned		
USB-5P	USB-MINI-B	''	USB-5P	Farnell	not assigned		
USB2640	48QFN	''	USB2640	Farnell	not assigned		
USB3320	32QFN	''	USB3320	Farnell	not assigned		
USD-SOCKET-CHINA	USD-SOCKET-PP	''	USD-SOCKET-CHINA	Farnell	not assigned		
VIBRATION-SWITCH	VIBRATION-SWITCH	''	VIBRATION-SWITCH	Farnell	not assigned		
VSK-S3	VSK-S3-5U	''	VSK-S3-5V	Farnell	not assigned		
WANDBOARD	MXM_3_	''	WANDBOARD	Farnell	not assigned		
XC6222	SOT23-5/SOT25	''	XC6222	Farnell	not assigned		
ZENER-DIODE	SOT23-R	''	ZENER-DIODE	Farnell	not assigned		
